视频名称,发布日期,备注
清仓藏矿，独守川能，拥抱风电，赌把华钰｜尊重走势，放弃幻想，山顶做梦，炒股大忌,2021-07-19,
滞胀？能源危机？不存在的,2021-10-08,
炒股真的难，出利好的跌，出利空的涨，好在我都有，所以还是赚,2021-08-02,
热点闲聊，中秋快乐（跟随趋势，不做预测，不设立场）,2021-09-21,
盐湖王者归来，一些不成熟看法仅供参考,2021-08-09,
盘一盘煤、电、高能耗产品与当前能耗双控的逻辑,2021-09-25,
盘前聊新闻-2021年6月7日,2021-06-07,
继续新高，聊下股市里散户的最大优势（42建仓微芯生物）,2021-06-23,
绿了｜过气龙头不如狗，板块轮动我来猜，抄底要抄跌不动，特斯拉降价锂矿高,2021-07-08,
老韭菜的十年买房经历、教训与展望,2022-12-07,
聊下汉ev街边着火和比亚迪的招黑体质,2021-08-06,
聊聊热点话题：军工、火锅、白酒、新能车、电子烟,2021-06-21,
莫大韭菜的实盘验证,2021-06-02,回忆贴
莫大韭菜读评论：投资篇,2021-11-13,
莫大韭菜读评论：生活篇,2021-11-16,
莫大韭菜读评论：选股篇,2021-12-06,
莫聊热点：REITs，买房，东数西算，科创板，运营商,2022-02-20,
行情低迷时，离市场远一点,2022-04-07,
解释下我今天为什么减仓,2022-01-28,
讨论下金和锑的逻辑，这年头沾上新能源就是YYDS,2021-08-12,
证券市场基本法律法规一晚通关技巧,2023-06-08,学习知识
谈下我对本轮牛市撤退路线的不成熟想法,2021-09-08,
赚麻了｜聊下我来b站实盘的动机（三峡能源缩量再抄，锂矿主升，微芯生物减持，呷哺呷哺调研）,2021-07-05,
超级精灵球，幻境七层再次证明年兽yyds(六层2个，七层3个),,请删除这个资料
辅助驾驶事故频发，锂电行情剧烈调整，你动摇了么？,2021-08-16,
这1000w赚得莫名其妙-干货篇01： 融捷、比亚迪、周黑鸭 p01 凡尔赛帖的由来,2021-06-10,回忆贴
这1000w赚得莫名其妙-干货篇02： 比亚迪、川能动力、西藏矿业 p01 感觉要主升，融资加仓比亚迪,2021-06-10,回忆贴
这1000万赚得莫名其妙,2021-06-10,回忆贴
这轮下跌很难V型反转，破五日线要警惕，兼谈买房、加息、疫情、俄乌,2022-03-20,
锂矿梦醒得千万，接力筑梦比亚迪。,2021-07-18,
长线持股只需关注大逻辑和K线，消息不重要，因为它们早已蕴藏在K线之中（更新持仓）,2021-09-04,
顶住，可见牛市曙光,2024-07-09,
高位股破位，是辟谣可以救的么？（宁德时代、国电南瑞、比亚迪、航发动力）,2022-02-13,
